Image URL,Credit,Caption,Alt text
crip m.png,M,crip,"A diagonal downwards-forwards arrow that zigzags and loops in on itself so it is shaped like a wheelchair moving forwards. It is coloured with the stripes of the disability pride flag, which curve and bend, intersect one another, and spill outside the boundaries of the lineart."
chronic fatigue1.png,Blackholemojis,chronic fatigue,"a slumped figure with dark circles under their eyes. Their head is partially covered by heavy grey clouds, and there are wiggly grey lines in front of and behind them."
dynamic disability 2.png,M & StellarSymbols,dynamic disability,an active wheelchair symbol above a wavy green line
crip verb m.png,M,crip (verb),a red active wheelchair user glyph with a bright green arrow over it facing to the right.
crip ingenuity.png,M,crip ingenuity,"Stella Young, the late disability activist, holding up a pair of kitchen tongs and smiling. Stella is a pale-skinned woman with dwarfism with red hair in a custom powerchair. The kitchen tongs have a glowing gold outline."
flare 1.png,Harlow,flare,a calendar with a fire and an orange line going out a few days and it ends in a circle
disability pride waving blackhole.png,Blackholemojis,disability pride flag,"The “straight diagonal” version of the disabled pride flag, in the shape of a waving flag. It is a charcoal grey flag with a diagonal band from the top left to the bottom right corner, made up of five parallel stripes in green, blue, pale grey, gold, and red."
disability theory.png,M,disability theory,"the international symbol for disability, which is a white glyph of a wheelchair user on a blue square, next to a question mark."
flare 5.png,Harlow,flare,a calendar with a fire and an orange line going out about a month and ending in a circle
disabled pheonix.png,Pheonix,Disabled,A disability sun with the disability pride flag on it. Below it is an off white arrow pointing down.
disability sun plum.png,Plum,Disability Sun / Disabled Sun symbol,"A drawing of the Disabled Sun symbol with the colors of the disability pride flag designed by Ann Magill. The shape is the alchemical glyph used to represent the sun, which is a large ring with a small circle centered inside. The disabled pride flag is a mostly grey flag with five diagonal stripes in pastel colors that start at the top left corner and run down to the bottom right corner. In order from left to right, the stripes are red, yellow, white. blue, and green"
full time wheelchair user dusty.png,Dusty,full time wheelchair user,A green rigid manual wheelchair with a green shaded clock that is fully circled.
disability pride blackhole.png,Blackholemojis,disability pride,"The “straight diagonal” version of the disabled pride flag, in a rectangle with rounded corners. It is a charcoal grey flag with a diagonal band from the top left to the bottom right corner, made up of five parallel stripes in green, blue, pale grey, gold, and red."
disability sun high contrast plum.png,Plum,Disability Sun / Disabled Sun symbol (high-contrast),"A drawing of the Disabled Sun symbol in the colors disability pride flag designed by Ann Magill, slightly edited to be higher-contrast. The shape is the alchemical glyph used to represent the sun, which is a large ring with a small circle centered inside. The disabled pride flag is a mostly grey flag with five colorful diagonal stripes that start at the top left corner and run down to the bottom right corner. In order from left to right, the stripes are red, yellow, white. blue, and green."
i have a disability i'm disabled crows 2.png,Crows,I have a disability / I'm disabled,An emoji yellow person pointing to themselves with an arrow pointing from a wheelchair symbol to them.
disabled disability gp 1.png,Gillipop,disabled / disability,the disability sun symbol in the colors of the disability pride flag with a white outline
disorganized_thinking.png,Petri,disorganized thinking,a thought bubble with swirls and scribbles of many colors in it
i'm clumsy due to disability vixen.png,Vixen,I'm clumsy due to disability,"a yellow fox tripping on a black charging cord looking at the cord shocked, there are blue squiggly lines, and a blue exclamation mark around the fox, above is a disability flag colours on a circle with a dot in the middle, around the circle are black arrows in a repeating motion."
disabled disability gp 2.png,Gillipop,disabled / disability,the disability sun symbol in the colors of the disability pride flag
dynamic disability 1.png,M & StellarSymbols,dynamic disability,a disability sun symbol above a wavy green line
invisible disability chrome.png,chrome,invisible disability,image of disability flag with a sunflower
flare 2.png,Harlow,flare,a calendar with a fire and an orange line going out a week and a couple of days and ending in a circle
flare 3.png,Harlow,flare,a calendar with a fire and an orange line going out a few weeks and a few days and ending in a circle
neurodivergent flag stellar neon.png,StellarSymbols & Neon,neurodivergent flag,A white flag with a rainbow infinity sign on it
flare up m.png,M,flare,a flame next to a red upwards arrow
flat affect.png,M,flat affect,"a speech bubble. inside it is a blue waveform in different shades, going up and down, with a red line crossing it out. below that are two flat blue lines, both the same shade, and a full stop after the second one. the black outline of the speech bubble has a grey outline around that."
Neurodiversity is more than just autism and ADHD plum 2.png,Plum,neurodiversity is more than just autism and ADHD,"A rainbow colored infinity symbol, representing neurodiversity. Then, a “greater than” symbol. To the right of it, on the “lesser” side, is a gold infinity symbol, representing autism, a plus sign, and the ADHD butterfly symbol, which is a rainbow-colored, stylized depiction of a butterfly, with the wings drawn with a single stroke to resemble an infinity sign"
i have an invisible disability crows 1.png,Crows,I have an invisible disability,An emoji yellow person pointing to themselves with an arrow pointing from a wheelchair symbol and a sunflower to them.
i fall a lot due to disability vixen.png,Vixen,I fall a lot due to disability,"a yellow fox falling down looking worried with blue lines accenuating the fall, underneath is a disability flag colours on a disability sun symbol, around the sun symbol are black arrows in a repeating motion."
obligate wheelchair user dusty.png,Dusty,obligate wheelchair user,"A red rigid manual wheelchair with a clock that is almost all shaded red, and a red exclamation point inside. A line spanning all but the unshaded portion goes around the clock."
i have an invisible disability crows 2.png,Crows,I have an invisible disability,An emoji yellow person pointing to themselves with an arrow pointing from a disability sun symbol and a sunflower to them.
