Image URL,Credit,Caption,Alt text
american constitution meowing.png,meowing-emojis,American constitution,"A yellow-tinted scroll, curled up at the bottom, with a simplified USA flag and squiggles on it."
first amendment meowing.png,meowing-emojis,First Amendment (American constitution),"A yellow-tinted scroll, curled up at the bottom, with a simplified USA flag and squiggles on it. In front is a person shouting into a megaphone."
second amendment meowing.png,meowing-emojis,Second Amendment (American constitution),"A yellow-tinted scroll, curled up at the bottom, with a simplified USA flag and squiggles on it. In front is a gun."
ada ottertime.png,Ottertime,Americans with Disabilities Act (ADA),"a white person with noise canceling headphones, a yellow person in a gray wheelchair wearing a kippah, and a lavender person with a nasal tube gathered underneath a simplified version of the American flag. All three people have the disability sun on their chest, showing that all three of them are disabled in some way."
ryan's rule.png,M,Ryan's Rule (Queensland law),A portrait of Ryan Saunders on a blue rectangle with a red cross in front of it.
