Image URL,Credit,Caption,Alt text
/Disability/s/scoliosis.png,M,scoliosis,a human spine that curves in an 's' shape.
adolescent scoliosis dusty.png,Dusty,adolescent scoliosis,A curving spine next to an emo teenager with dyed hair using a cane.
adult idiopathic scoliosis.png,Dusty,adult (idiopathic) scoliosis,A curving spine next to an adult in a wheelchair.
infantile scoliosis dusty.png,Dusty,infantile scoliosis,A curving spine next to a swaddled infant.
/Disability/s/kEDS ot.png,Ottertime,kyphoscoliotic elhers-danlos syndrome (kEDS),"on the top is a curving vertebrae. on the bottom right corner is a white ribbon with black stripes next to the bust of a zebra, who has a white body with black stripes"
juvenile scoliosis dusty.png,Dusty,juvenile scoliosis,"A curving spine next to a child in overalls and a propeller hat, using an anterior walker."
dextroscoliosis dusty.png,Dusty,dextroscoliosis,"A yellow person in gray pants with a spine curving far to the left, and a pink arrow pointing into the curve."
levoscoliosis dusty.png,Dusty,levoscoliosis,"A yellow person in gray pants with a spine curving far to the right, and a pink arrow pointing into the curve."
