Image URL,Credit,Caption,Alt text
/Time/holidays/allergy treat basket rc.png,Bear,allergy treat basket,a teal pumpkin shaped basket with a classic jack-o-lantern face on it
/Objects/food/candy corn rae.png,Rae,candy corn,a single piece of candy corn.
/Objects/halloween candy basket.png,Vixen,Halloween candy basket,"a festive Halloween-themed pumpkin bucket filled with candy. The pumpkin has a carved jack-o'-lantern face, featuring closed, happy eyes and a broad, cheerful grin. The bucket’s handle is gray, contrasting with the bright orange pumpkin. Inside, various wrapped candies in green, pink, and white are visible."
/Objects/candy bucket rae.png,Rae,candy bucket,Jack o lantern shaped object with an opening and a thin black handle.
/Time/holidays/hand out candy rc.png,Bear,hand out candy,two emoji-yellow outstretched hands with a blue arrow pointing down to various pieces of candy
/Time/holidays/jack o lantern lit mikey.png,Mikey,jack-o'-lantern,"a lit, smiling jack-o'-lantern with two leaves beside it."
/Phrases/trick or treat vixen.png,Vixen,trick or treat,"a red devil mask on the top left corner, on the bottom right corner there is wrapped candy. The word 'or' is written between them in red."
/Time/holidays/trick or treating bh.png,Blackholemojis,trick or treating,"two kids dressed up. One is a pink fairy with a decorated wheelchair and the other is a ghost with a purple AAC tablet. The ghost kid asks, “trick or treat?” shown with a skull and a candy"
/Time/holidays/treat basket rc.png,Bear,treat basket,an orange pumpkin shaped basket with a classic jack-o-lantern face on it
