Image URL,Credit,Caption,Alt text
blue and orange morality rae.png,Rae,blue and orange morality,a blue and orange square with a thought bubble around it
enemies to lovers evan.png,Evan,enemies to lovers,"an arrow pointing from a red, angry figure to a smiling pink figure with heart-shaped eyes."
height difference 1 evan.png,Evan,height difference,a tall pink figure and a short light blue figure.
dark and stormy night m.png,M,dark and stormy night,"a dark raincloud with rain and a bolt of lighting coming from it, and a cresent moon partly behind it on the right."
height difference 2 evan.png,Evan,height difference,a tall yellow figure and a short yellow figure.
van helsing hate crimes.png,M,Van Helsing hate crimes,"two pale hands, one holding a stake and one holding a gold crucifix. below them, the faces of two frightened green monsters with pointed ears, grey horns, and pointy teeth ."
five man band.png,M,five man band,"five simple figures, with three at the front and two behind them. they are, at the back from left to right: green ('the smart one') and orange ('the big one'), and at the front from left to right: red ('the lancer'), blue ('the leader'), and pink ('the heart')."
machiavelli was wrong.png,M,Machiavelli was wrong,a crossed out potrait of Machiavelli .
