id,desc,url_path,icon_id,cw,have_subcat_icons
7470652003031449716,body & medical folders,bodymedical,7470595713651441725,,
7470652003031449717,nature & animals folders,naturefolders,7470595713655636201,,
7470652003031449718,religion folders,religionfolders,7470595713659830361,,
7470652003031449719,people folders,people folders,7470595713659830291,,
7470652003031449720,concepts folders,conceptsfolders,7470595713651441757,,
7470652003031449721,disability folders,disabilityfolders,7470595713651441795,,
7470652003031449722,symbol templates,templates,7470595713659830424,,
7470652003031449723,letter folders,letter folders,7470595713655635986,,
7470652003031449724,inflections & tone,Inflections,,,
7470652003031449725,small / core words,Small-Core words,7470595713802436891,,
7470652003031449726,so,so,,,
7470652003031449727,pronouns,pronouns,7470595713798242529,,
7470652003031449728,neopronouns,neos,7470595713802436701,,
7470652003031449729,natural disaster & emergency,Natural Disaster,7470595713739522197,,
7470652003031449730,feelings,Feelings,7470595713710161971,,
7470652003031449731,empathy & sympathy,empathy,7470595713710162057,,
7470652003031449732,attraction,attraction,7470595713710162007,,
7470652003031449733,pain,Pain,7470595713760493817,,
7470652003031449734,pain charts & pain levels,charts levels,7470595713760493848,,
7470652003031449735,pain in specific body parts,parts,7470595713764687903,,
7470652003031449736,LBGTQIA+,LBGT_,7470595713718550685,,
7470652003031449737,intersex,intersex,7470595713718550606,,
7470652003031449738,media,Media,7470595713731133665,,1
7470652003031449739,My Little Pony,My Little Pony,7470595713726939407,,
7470652003031449740,Pokemon,Pokemon,7470595713731133449,,
7470652003031449741,Sega / Sonic,Sega,7470595713731133467,,
7470652003031449742,X Men,X Men,7470595713731133639,,
7470652003031449743,The Magnus Archives,TMA,7470595713731133606,,
7470652003031449744,Star Wars,Star Wars,7470595713731133536,,
7470652003031449745,Transformers,Transformers,7470595713731133622,,
7470652003031449746,tropes,Tropes,7470595713731133631,,
7470652003031449747,Deltarune,Deltarune,7470595713726939270,,
7470652003031449748,Star Trek,Star Trek,7470595713731133495,,
7470652003031449749,Bluey,Bluey,7470595713726939263,,
7470652003031449750,Minecraft,Minecraft,7470595713726939291,,
7470652003031449751,minecraft-styled birthday cake,cake,,,
7470652003031449752,Animal Crossing,Animal Crossing,7470595713726939243,,
7472293589232990503,ASL (American Sign Language) fingerspelling,ASL,,,0
